date,store_id,revenue,revenue_prediction,lower_bound,upper_bound
2018-11-11,S0002,2561.47,4627.796248882883,1359.2452377711206,7896.347259994646
2018-11-18,S0002,2550.94,2431.6144955587833,-1202.6172453497616,6065.846236467329
2018-11-25,S0002,2607.1,2734.656099044617,-1231.653393076937,6700.96559116617
2018-12-02,S0002,2610.98,2646.405406036465,-1626.2373422806695,6919.0481543536
2018-12-09,S0002,3123.2,3036.6596160909107,-1521.7724971329385,7595.0917293147595
2018-12-16,S0002,3450.06,2312.1010579127874,-2515.229817299803,7139.431933125377
2018-12-23,S0002,3546.61,2576.93802179578,-2505.0851206964894,7658.96116428805
2018-12-30,S0002,2941.19,2654.422245094422,-2670.1295940270525,7978.974084215897
2019-01-06,S0002,3655.08,3140.9794064839634,-2415.5402147883133,8697.49902775624
2019-01-13,S0002,3053.83,2839.9631158045167,-2939.26103269576,8619.187264304794
2019-01-20,S0002,4997.78,2569.9559634503335,-3423.8115466148115,8563.723473515478
2019-01-27,S0002,3580.7400000000002,3418.1213742687582,-2783.597452415864,9619.84020095338
2019-02-03,S0002,4096.85,4661.914817258141,-1977.4101045759571,11301.239739092238
2019-02-10,S0002,5840.03,2465.73306393404,-4458.64331867194,9390.10944654002
2019-02-17,S0002,4542.51,2768.7746674198734,-4429.374327909091,9966.923662748839
2019-02-24,S0002,3683.56,2680.5239744117216,-4781.358780634921,10142.406729458364
2019-03-03,S0002,3547.58,3070.778184466167,-4645.829547756746,10787.385916689082
2019-03-10,S0002,4597.84,2346.219626288044,-5616.969610429438,10309.408863005525
2019-03-17,S0002,3984.73,2611.056590171037,-5591.306437868846,10813.419618210919
2019-03-24,S0002,3575.84,2688.5408134696786,-5746.221691289178,11123.303318228536
2019-03-31,S0002,3169.98,3175.09797485922,-5485.843715290937,11836.039665009377
2019-04-07,S0002,3594.56,2874.081684179773,-6007.317799765327,11755.481168124874
2019-04-14,S0002,3648.72,2604.07453182559,-6492.541883304701,11700.690946955881
2019-04-21,S0002,3747.2599999999998,3452.2399426440147,-5855.614000646241,12760.093885934271
2019-04-28,S0002,2673.85,4696.033385633396,-5009.315331539854,14401.382102806647
2019-05-05,S0002,3731.34,2499.8516323092963,-7484.101982116307,12483.8052467349
2019-05-12,S0002,5314.1,2802.89323579513,-7452.111660503472,13057.898132093731
2019-05-19,S0002,2925.18,2714.642542786978,-7804.435167959047,13233.720253533003
2019-05-26,S0002,2664.43,3104.8967528414237,-7671.78617101391,13881.579676696756
2019-06-02,S0002,4149.6,2380.3381946633003,-8647.935269201795,13408.611658528394
2019-06-09,S0002,3674.1,2645.1751585462935,-8629.077701246877,13919.428018339464
2019-06-16,S0002,3911.59,2722.659381844935,-8792.324246567005,14237.643010256874
2019-06-23,S0002,5509.16,3209.2165432344764,-8541.580016673204,14960.013103142155
2019-06-30,S0002,3347.68,2908.2002525550297,-9073.804377248638,14890.204882358696
2019-07-07,S0002,4983.8,2638.1931002008464,-9570.738446440439,14847.12464684213
2019-07-14,S0002,6365.78,3486.358511019271,-8946.437500662407,15919.154522700948
2019-07-21,S0002,4318.66,4730.151954008653,-8089.654596291733,17549.958504309037
2019-07-28,S0002,3346.71,2533.9702006845528,-10570.578786968423,15638.519188337528
2019-08-04,S0002,3516.66,2837.0118041703863,-10546.241901184303,16220.265509525076
2019-08-11,S0002,4068.51,2748.7611111622346,-10907.516577902192,16405.038800226663
2019-08-18,S0002,6158.68,3139.01532121668,-10784.936076929835,17062.966719363194
2019-08-25,S0002,16283.630000000001,2414.456763038557,-11772.120028526493,16601.033554603608
2019-09-01,S0002,4164.56,2679.29372692155,-11765.13611614811,17123.723569991213
2019-09-08,S0002,6267.91,2756.7779502201915,-11940.986505721976,17454.54240616236
2019-09-15,S0002,5007.57,3243.335111609733,-11703.483150488493,18190.15337370796
2019-09-22,S0002,3074.56,2942.318820930286,-12249.504821621495,18134.142463482065
2019-09-29,S0002,5728.25,2672.311668576103,-12760.721936211872,18105.345273364077
2019-10-06,S0002,363.20000000000005,3520.4770793945277,-12151.174737908706,19192.128896697763
2019-10-13,S0002,0.0,4764.270522383909,-11293.9396386331,20822.480683400918
2019-10-20,S0002,0.0,2568.0887690598092,-13784.927797754794,18921.105335874414
2019-10-27,S0002,0.0,2871.130372545643,-13771.494158382113,19513.754903473397
2019-11-03,S0002,0.0,2782.879679537491,-14144.406190340618,19710.1655494156
2018-11-11,S0010,2591.02,3115.2569210278966,2149.1030747356326,4081.4107673201606
2018-11-18,S0010,3267.75,2697.9794236607213,1701.0890366725503,3694.8698106488923
2018-11-25,S0010,3046.8,2816.9257149949103,1790.2220071563165,3843.629422833504
2018-12-02,S0010,2730.05,2514.0507388157266,1458.3758034368727,3569.7256741945803
2018-12-09,S0010,3084.83,2581.1797396249244,1497.307744914108,3665.0517343357405
2018-12-16,S0010,2424.06,2589.2440661467217,1477.8902003638236,3700.59793192962
2018-12-23,S0010,2892.63,2871.197112584346,1733.0247492808753,4009.369475887817
2018-12-30,S0010,3254.57,2474.494485468726,1310.1211534860624,3638.86781745139
