store_id,data,previsao_revenue,previsao_default,revenue_2018,coeficiente_anual
S0002,2019-10-01,740.23,745.02,596.58,143.65
S0002,2019-10-02,558.73,518.36,415.08,143.65
S0002,2019-10-03,579.91,544.81,436.26,143.65
S0002,2019-10-04,669.78,657.04,526.13,143.65
S0002,2019-10-05,654.76,638.28,511.11,143.65
S0002,2019-10-06,1018.3,1092.28,874.65,143.65
S0002,2019-10-07,526.31,477.87,382.66,143.65
S0002,2019-10-08,1079.33,1168.5,935.68,143.65
S0002,2019-10-09,719.08,718.61,575.43,143.65
S0002,2019-10-10,495.65,439.58,352.0,143.65
S0002,2019-10-11,444.18,375.31,300.53,143.65
S0002,2019-10-12,1237.62,1366.17,1093.97,143.65
S0002,2019-10-13,963.28,1023.57,819.63,143.65
S0002,2019-10-14,826.37,852.59,682.72,143.65
S0002,2019-10-15,664.38,650.3,520.73,143.65
S0002,2019-10-16,682.83,673.34,539.18,143.65
S0002,2019-10-17,503.48,449.36,359.83,143.65
S0002,2019-10-18,530.71,483.37,387.06,143.65
S0002,2019-10-19,712.54,710.44,568.89,143.65
S0002,2019-10-20,723.4,724.0,579.75,143.65
S0002,2019-10-21,435.69,364.71,292.04,143.65
S0002,2019-10-22,419.79,344.85,276.14,143.65
S0002,2019-10-23,482.09,422.65,338.44,143.65
S0002,2019-10-24,444.88,376.18,301.23,143.65
S0002,2019-10-25,523.34,474.16,379.69,143.65
S0002,2019-10-26,596.36,565.35,452.71,143.65
S0002,2019-10-27,691.96,684.74,548.31,143.65
S0002,2019-10-28,562.34,522.87,418.69,143.65
S0002,2019-10-29,517.4,466.75,373.75,143.65
S0002,2019-10-30,340.39,245.69,196.74,143.65
S0002,2019-10-31,604.0,574.89,460.35,143.65
S0010,2019-10-01,492.54,543.49,435.2,57.34
S0010,2019-10-02,527.43,587.06,470.09,57.34
S0010,2019-10-03,284.86,284.13,227.52,57.34
S0010,2019-10-04,369.03,389.24,311.69,57.34
S0010,2019-10-05,502.66,556.12,445.32,57.34
S0010,2019-10-06,524.57,583.49,467.23,57.34
S0010,2019-10-07,473.02,519.11,415.68,57.34
S0010,2019-10-08,426.54,461.06,369.2,57.34
S0010,2019-10-09,544.04,607.8,486.7,57.34
S0010,2019-10-10,625.62,709.68,568.28,57.34
S0010,2019-10-11,404.04,432.97,346.7,57.34
S0010,2019-10-12,616.49,698.28,559.15,57.34
S0010,2019-10-13,417.04,449.2,359.7,57.34
S0010,2019-10-14,536.45,598.32,479.11,57.34
S0010,2019-10-15,316.41,323.53,259.07,57.34
S0010,2019-10-16,426.49,461.0,369.15,57.34
S0010,2019-10-17,359.02,376.74,301.68,57.34
S0010,2019-10-18,362.88,381.56,305.54,57.34
S0010,2019-10-19,501.16,554.25,443.82,57.34
S0010,2019-10-20,539.19,601.74,481.85,57.34
S0010,2019-10-21,565.83,635.01,508.49,57.34
S0010,2019-10-22,366.06,385.54,308.72,57.34
S0010,2019-10-23,375.45,397.26,318.11,57.34
S0010,2019-10-24,391.15,416.87,333.81,57.34
S0010,2019-10-25,323.52,332.41,266.18,57.34
S0010,2019-10-26,619.65,702.22,562.31,57.34
S0010,2019-10-27,510.65,566.1,453.31,57.34
S0010,2019-10-28,311.22,317.05,253.88,57.34
S0010,2019-10-29,364.26,383.29,306.92,57.34
S0010,2019-10-30,269.89,265.44,212.55,57.34
S0010,2019-10-31,440.72,478.77,383.38,57.34
S0012,2019-10-01,389.96,413.46,331.08,58.88
S0012,2019-10-02,429.64,463.01,370.76,58.88
S0012,2019-10-03,427.31,460.1,368.43,58.88
S0012,2019-10-04,236.72,222.09,177.84,58.88
S0012,2019-10-05,280.04,276.19,221.16,58.88
S0012,2019-10-06,180.3,151.63,121.42,58.88
S0012,2019-10-07,308.88,312.2,250.0,58.88
S0012,2019-10-08,531.1,589.72,472.22,58.88
S0012,2019-10-09,254.8,244.67,195.92,58.88
S0012,2019-10-10,308.18,311.33,249.3,58.88
S0012,2019-10-11,285.6,283.13,226.72,58.88
S0012,2019-10-12,610.42,688.77,551.54,58.88
S0012,2019-10-13,254.49,244.28,195.61,58.88
S0012,2019-10-14,298.49,299.23,239.61,58.88
S0012,2019-10-15,312.71,316.99,253.83,58.88
S0012,2019-10-16,229.51,213.09,170.63,58.88
S0012,2019-10-17,381.93,403.43,323.05,58.88
S0012,2019-10-18,241.7,228.31,182.82,58.88
S0012,2019-10-19,476.27,521.24,417.39,58.88
S0012,2019-10-20,194.21,169.0,135.33,58.88
S0012,2019-10-21,389.15,412.45,330.27,58.88
S0012,2019-10-22,246.4,234.18,187.52,58.88
S0012,2019-10-23,223.91,206.09,165.03,58.88
S0012,2019-10-24,624.18,705.96,565.3,58.88
S0012,2019-10-25,219.34,200.39,160.46,58.88
S0012,2019-10-26,221.21,202.72,162.33,58.88
S0012,2019-10-27,163.32,130.43,104.44,58.88
S0012,2019-10-28,214.35,194.15,155.47,58.88
S0012,2019-10-29,273.71,268.28,214.83,58.88
S0012,2019-10-30,219.99,201.2,161.11,58.88
S0012,2019-10-31,143.08,105.15,84.2,58.88
S0015,2019-10-01,492.92,505.09,404.45,88.47
S0015,2019-10-02,491.21,502.95,402.74,88.47
S0015,2019-10-03,422.5,417.14,334.03,88.47
S0015,2019-10-04,498.24,511.73,409.77,88.47
S0015,2019-10-05,503.31,518.06,414.84,88.47
S0015,2019-10-06,615.76,658.49,527.29,88.47
S0015,2019-10-07,375.95,359.01,287.48,88.47
S0015,2019-10-08,434.65,432.32,346.18,88.47
S0015,2019-10-09,362.4,342.09,273.93,88.47
S0015,2019-10-10,408.86,400.11,320.39,88.47
S0015,2019-10-11,373.82,356.35,285.35,88.47
S0015,2019-10-12,613.63,655.83,525.16,88.47
S0015,2019-10-13,515.22,532.93,426.75,88.47
S0015,2019-10-14,335.56,308.57,247.09,88.47
S0015,2019-10-15,453.09,455.34,364.62,88.47
S0015,2019-10-16,413.27,405.62,324.8,88.47
S0015,2019-10-17,419.26,413.1,330.79,88.47
S0015,2019-10-18,476.38,484.43,387.91,88.47
S0015,2019-10-19,531.64,553.44,443.17,88.47
S0015,2019-10-20,403.8,393.79,315.33,88.47
S0015,2019-10-21,397.24,385.6,308.77,88.47
S0015,2019-10-22,441.48,440.85,353.01,88.47
S0015,2019-10-23,418.23,411.81,329.76,88.47
S0015,2019-10-24,458.46,462.05,369.99,88.47
S0015,2019-10-25,265.6,221.2,177.13,88.47
S0015,2019-10-26,562.67,592.19,474.2,88.47
S0015,2019-10-27,553.42,580.64,464.95,88.47
S0015,2019-10-28,630.57,676.99,542.1,88.47
S0015,2019-10-29,459.51,463.36,371.04,88.47
S0015,2019-10-30,452.0,453.98,363.53,88.47
S0015,2019-10-31,407.88,398.89,319.41,88.47
S0020,2019-10-01,1115.7,1113.57,891.7,224.0
S0020,2019-10-02,851.83,784.05,627.83,224.0
S0020,2019-10-03,794.98,713.05,570.98,224.0
S0020,2019-10-04,1169.03,1180.17,945.03,224.0
S0020,2019-10-05,1385.12,1450.03,1161.12,224.0
S0020,2019-10-06,1502.1,1596.12,1278.1,224.0
S0020,2019-10-07,1222.91,1247.46,998.91,224.0
S0020,2019-10-08,1221.73,1245.98,997.73,224.0
S0020,2019-10-09,970.44,932.17,746.44,224.0
S0020,2019-10-10,1131.82,1133.7,907.82,224.0
S0020,2019-10-11,1230.31,1256.7,1006.31,224.0
S0020,2019-10-12,1681.46,1820.1,1457.46,224.0
S0020,2019-10-13,1682.46,1821.35,1458.46,224.0
S0020,2019-10-14,1317.21,1365.22,1093.21,224.0
S0020,2019-10-15,1191.15,1207.8,967.15,224.0
S0020,2019-10-16,1253.91,1286.17,1029.91,224.0
S0020,2019-10-17,964.0,924.13,740.0,224.0
S0020,2019-10-18,1147.21,1152.92,923.21,224.0
S0020,2019-10-19,1789.24,1954.7,1565.24,224.0
S0020,2019-10-20,1320.95,1369.89,1096.95,224.0
S0020,2019-10-21,943.81,898.91,719.81,224.0
S0020,2019-10-22,967.11,928.01,743.11,224.0
S0020,2019-10-23,1048.59,1029.76,824.59,224.0
S0020,2019-10-24,924.31,874.56,700.31,224.0
S0020,2019-10-25,856.06,789.33,632.06,224.0
S0020,2019-10-26,1086.39,1076.97,862.39,224.0
S0020,2019-10-27,1352.56,1409.37,1128.56,224.0
S0020,2019-10-28,1182.64,1197.17,958.64,224.0
S0020,2019-10-29,941.15,895.59,717.15,224.0
S0020,2019-10-30,935.61,888.67,711.61,224.0
S0020,2019-10-31,1028.19,1004.29,804.19,224.0
S0023,2019-10-01,380.19,326.95,261.81,118.38
S0023,2019-10-02,483.5,455.97,365.12,118.38
S0023,2019-10-03,708.96,737.53,590.58,118.38
S0023,2019-10-04,522.44,504.6,404.06,118.38
S0023,2019-10-05,553.18,542.99,434.8,118.38
S0023,2019-10-06,635.74,646.09,517.36,118.38
S0023,2019-10-07,770.8,814.75,652.42,118.38
S0023,2019-10-08,488.4,462.09,370.02,118.38
S0023,2019-10-09,861.29,927.76,742.91,118.38
S0023,2019-10-10,505.66,483.64,387.28,118.38
S0023,2019-10-11,592.39,591.95,474.01,118.38
S0023,2019-10-12,632.03,641.46,513.65,118.38
S0023,2019-10-13,933.94,1018.49,815.56,118.38
S0023,2019-10-14,774.04,818.8,655.66,118.38
S0023,2019-10-15,700.02,726.36,581.64,118.38
S0023,2019-10-16,701.77,728.55,583.39,118.38
S0023,2019-10-17,425.96,384.11,307.58,118.38
S0023,2019-10-18,431.92,391.55,313.54,118.38
S0023,2019-10-19,693.69,718.46,575.31,118.38
S0023,2019-10-20,884.93,957.28,766.55,118.38
S0023,2019-10-21,543.44,530.82,425.06,118.38
S0023,2019-10-22,401.66,353.77,283.28,118.38
S0023,2019-10-23,509.57,488.53,391.19,118.38
S0023,2019-10-24,501.81,478.83,383.43,118.38
S0023,2019-10-25,963.9,1055.9,845.52,118.38
S0023,2019-10-26,529.97,514.0,411.59,118.38
S0023,2019-10-27,1105.9,1233.23,987.52,118.38
S0023,2019-10-28,555.25,545.57,436.87,118.38
S0023,2019-10-29,476.79,447.59,358.41,118.38
S0023,2019-10-30,516.99,497.79,398.61,118.38
S0023,2019-10-31,434.88,395.25,316.5,118.38
S0026,2019-10-01,1622.34,1705.95,1366.05,256.29
S0026,2019-10-02,1350.53,1366.51,1094.24,256.29
S0026,2019-10-03,1246.95,1237.16,990.66,256.29
S0026,2019-10-04,1366.29,1386.19,1110.0,256.29
S0026,2019-10-05,1776.16,1898.04,1519.87,256.29
S0026,2019-10-06,1759.31,1877.0,1503.02,256.29
S0026,2019-10-07,1636.82,1724.03,1380.53,256.29
S0026,2019-10-08,1504.56,1558.86,1248.27,256.29
S0026,2019-10-09,1682.02,1780.48,1425.73,256.29
S0026,2019-10-10,1490.55,1541.37,1234.26,256.29
S0026,2019-10-11,1319.57,1327.85,1063.28,256.29
S0026,2019-10-12,2407.55,2686.54,2151.26,256.29
S0026,2019-10-13,2225.21,2458.83,1968.92,256.29
S0026,2019-10-14,1477.03,1524.48,1220.74,256.29
S0026,2019-10-15,1496.46,1548.75,1240.17,256.29
S0026,2019-10-16,1546.3,1610.99,1290.01,256.29
S0026,2019-10-17,1260.45,1254.01,1004.16,256.29
S0026,2019-10-18,1456.31,1498.61,1200.02,256.29
S0026,2019-10-19,1828.11,1962.92,1571.82,256.29
S0026,2019-10-20,1673.3,1769.59,1417.01,256.29
S0026,2019-10-21,1203.72,1183.17,947.43,256.29
S0026,2019-10-22,1284.95,1284.61,1028.66,256.29
S0026,2019-10-23,1108.97,1064.84,852.68,256.29
S0026,2019-10-24,1254.22,1246.23,997.93,256.29
S0026,2019-10-25,1572.48,1643.68,1316.19,256.29
S0026,2019-10-26,1643.84,1732.8,1387.55,256.29
S0026,2019-10-27,1547.69,1612.73,1291.4,256.29
S0026,2019-10-28,1547.16,1612.06,1290.87,256.29
S0026,2019-10-29,1249.79,1240.7,993.5,256.29
S0026,2019-10-30,1272.98,1269.66,1016.69,256.29
S0026,2019-10-31,1361.68,1380.43,1105.39,256.29
S0038,2019-10-01,1321.52,1266.72,1014.33,307.19
S0038,2019-10-02,1395.66,1359.3,1088.47,307.19
S0038,2019-10-03,1095.6,984.58,788.41,307.19
S0038,2019-10-04,1318.79,1263.31,1011.6,307.19
S0038,2019-10-05,1879.43,1963.44,1572.24,307.19
S0038,2019-10-06,2545.85,2795.68,2238.66,307.19
S0038,2019-10-07,1333.93,1282.21,1026.74,307.19
S0038,2019-10-08,1193.79,1107.2,886.6,307.19
S0038,2019-10-09,1117.51,1011.94,810.32,307.19
S0038,2019-10-10,1248.61,1175.66,941.42,307.19
S0038,2019-10-11,1373.62,1331.78,1066.43,307.19
S0038,2019-10-12,2199.2,2362.78,1892.01,307.19
S0038,2019-10-13,2795.68,3107.68,2488.49,307.19
S0038,2019-10-14,1713.07,1755.69,1405.88,307.19
S0038,2019-10-15,1266.06,1197.46,958.87,307.19
S0038,2019-10-16,1020.99,891.41,713.8,307.19
S0038,2019-10-17,1034.33,908.07,727.14,307.19
S0038,2019-10-18,1666.45,1697.47,1359.26,307.19
S0038,2019-10-19,2391.3,2602.68,2084.11,307.19
S0038,2019-10-20,2340.85,2539.67,2033.66,307.19
S0038,2019-10-21,1173.22,1081.52,866.03,307.19
S0038,2019-10-22,1096.05,985.14,788.86,307.19
S0038,2019-10-23,957.03,811.53,649.84,307.19
S0038,2019-10-24,825.25,646.96,518.06,307.19
S0038,2019-10-25,1364.44,1320.31,1057.25,307.19
S0038,2019-10-26,2064.07,2194.03,1756.88,307.19
S0038,2019-10-27,1570.6,1577.77,1263.41,307.19
S0038,2019-10-28,1650.34,1677.35,1343.15,307.19
S0038,2019-10-29,1001.65,867.26,694.46,307.19
S0038,2019-10-30,1345.09,1296.15,1037.9,307.19
S0038,2019-10-31,1128.99,1026.28,821.8,307.19
S0040,2019-10-01,491.99,464.76,372.16,119.83
S0040,2019-10-02,514.89,493.36,395.06,119.83
S0040,2019-10-03,597.22,596.17,477.39,119.83
S0040,2019-10-04,494.13,467.43,374.3,119.83
S0040,2019-10-05,587.28,583.76,467.45,119.83
S0040,2019-10-06,777.32,821.09,657.49,119.83
S0040,2019-10-07,413.2,366.37,293.37,119.83
S0040,2019-10-08,1486.99,1707.34,1367.16,119.83
S0040,2019-10-09,931.45,1013.57,811.62,119.83
S0040,2019-10-10,899.14,973.22,779.31,119.83
S0040,2019-10-11,853.12,915.75,733.29,119.83
S0040,2019-10-12,1928.03,2258.12,1808.2,119.83
S0040,2019-10-13,619.46,623.95,499.63,119.83
S0040,2019-10-14,615.28,618.73,495.45,119.83
S0040,2019-10-15,678.96,698.25,559.13,119.83
S0040,2019-10-16,808.62,860.17,688.79,119.83
S0040,2019-10-17,769.06,810.77,649.23,119.83
S0040,2019-10-18,536.96,520.92,417.13,119.83
S0040,2019-10-19,715.22,743.53,595.39,119.83
S0040,2019-10-20,845.1,905.73,725.27,119.83
S0040,2019-10-21,599.87,599.48,480.04,119.83
S0040,2019-10-22,620.48,625.22,500.65,119.83
S0040,2019-10-23,418.85,373.42,299.02,119.83
S0040,2019-10-24,608.38,610.11,488.55,119.83
S0040,2019-10-25,353.13,291.35,233.3,119.83
S0040,2019-10-26,669.36,686.26,549.53,119.83
S0040,2019-10-27,862.98,928.06,743.15,119.83
S0040,2019-10-28,678.96,698.25,559.13,119.83
S0040,2019-10-29,350.64,288.24,230.81,119.83
S0040,2019-10-30,345.59,281.93,225.76,119.83
S0040,2019-10-31,473.52,441.7,353.69,119.83
S0045,2019-10-01,154.49,156.9,125.64,28.85
S0045,2019-10-02,185.83,196.04,156.98,28.85
S0045,2019-10-03,129.18,125.29,100.33,28.85
S0045,2019-10-04,141.81,141.07,112.96,28.85
S0045,2019-10-05,111.7,103.46,82.85,28.85
S0045,2019-10-06,89.39,75.6,60.54,28.85
S0045,2019-10-07,161.41,165.54,132.56,28.85
S0045,2019-10-08,256.33,284.08,227.48,28.85
S0045,2019-10-09,216.1,233.84,187.25,28.85
S0045,2019-10-10,128.74,124.74,99.89,28.85
S0045,2019-10-11,161.84,166.08,132.99,28.85
S0045,2019-10-12,446.74,521.87,417.89,28.85
S0045,2019-10-13,258.01,286.18,229.16,28.85
S0045,2019-10-14,223.16,242.66,194.31,28.85
S0045,2019-10-15,115.04,107.64,86.19,28.85
S0045,2019-10-16,70.09,51.5,41.24,28.85
S0045,2019-10-17,167.7,173.4,138.85,28.85
S0045,2019-10-18,106.32,96.75,77.47,28.85
S0045,2019-10-19,176.3,184.14,147.45,28.85
S0045,2019-10-20,121.76,116.03,92.91,28.85
S0045,2019-10-21,71.06,52.71,42.21,28.85
S0045,2019-10-22,92.79,79.85,63.94,28.85
S0045,2019-10-23,129.29,125.43,100.44,28.85
S0045,2019-10-24,106.47,96.93,77.62,28.85
S0045,2019-10-25,121.49,115.69,92.64,28.85
S0045,2019-10-26,120.42,114.35,91.57,28.85
S0045,2019-10-27,127.64,123.37,98.79,28.85
S0045,2019-10-28,139.51,138.19,110.66,28.85
S0045,2019-10-29,158.67,162.12,129.82,28.85
S0045,2019-10-30,96.42,84.38,67.57,28.85
S0045,2019-10-31,105.7,95.97,76.85,28.85
S0050,2019-10-01,389.84,365.75,292.88,96.96
S0050,2019-10-02,422.67,406.75,325.71,96.96
S0050,2019-10-03,227.11,162.53,130.15,96.96
S0050,2019-10-04,297.64,250.61,200.68,96.96
S0050,2019-10-05,671.42,717.4,574.46,96.96
S0050,2019-10-06,465.91,460.75,368.95,96.96
S0050,2019-10-07,324.1,283.66,227.14,96.96
S0050,2019-10-08,399.2,377.44,302.24,96.96
S0050,2019-10-09,388.85,364.52,291.89,96.96
S0050,2019-10-10,298.16,251.26,201.2,96.96
S0050,2019-10-11,442.39,431.38,345.43,96.96
S0050,2019-10-12,692.34,743.52,595.38,96.96
S0050,2019-10-13,613.2,644.69,516.24,96.96
S0050,2019-10-14,264.53,209.26,167.57,96.96
S0050,2019-10-15,292.3,243.94,195.34,96.96
S0050,2019-10-16,408.76,389.38,311.8,96.96
S0050,2019-10-17,329.88,290.88,232.92,96.96
S0050,2019-10-18,398.51,376.58,301.55,96.96
S0050,2019-10-19,302.19,256.3,205.23,96.96
S0050,2019-10-20,371.73,343.14,274.77,96.96
S0050,2019-10-21,309.97,266.01,213.01,96.96
S0050,2019-10-22,472.67,469.19,375.71,96.96
S0050,2019-10-23,400.0,378.44,303.04,96.96
S0050,2019-10-24,308.93,264.71,211.97,96.96
S0050,2019-10-25,316.77,274.5,219.81,96.96
S0050,2019-10-26,357.64,325.54,260.68,96.96
S0050,2019-10-27,300.77,254.52,203.81,96.96
S0050,2019-10-28,398.72,376.84,301.76,96.96
S0050,2019-10-29,294.17,246.28,197.21,96.96
S0050,2019-10-30,245.7,185.75,148.74,96.96
S0050,2019-10-31,341.99,306.0,245.03,96.96
S0052,2019-10-01,219.62,262.53,210.22,9.4
S0052,2019-10-02,142.54,166.27,133.14,9.4
S0052,2019-10-03,196.36,233.48,186.96,9.4
S0052,2019-10-04,117.56,135.07,108.16,9.4
S0052,2019-10-05,257.9,310.33,248.5,9.4
S0052,2019-10-06,261.08,314.3,251.68,9.4
S0052,2019-10-07,140.03,163.13,130.63,9.4
S0052,2019-10-08,92.68,104.0,83.28,9.4
S0052,2019-10-09,144.5,168.72,135.1,9.4
S0052,2019-10-10,89.52,100.06,80.12,9.4
S0052,2019-10-11,123.17,142.08,113.77,9.4
S0052,2019-10-12,615.42,756.81,606.02,9.4
S0052,2019-10-13,194.72,231.43,185.32,9.4
S0052,2019-10-14,85.73,95.32,76.33,9.4
S0052,2019-10-15,152.48,178.68,143.08,9.4
S0052,2019-10-16,163.63,192.61,154.23,9.4
S0052,2019-10-17,190.55,226.22,181.15,9.4
S0052,2019-10-18,187.83,222.83,178.43,9.4
S0052,2019-10-19,207.32,247.17,197.92,9.4
S0052,2019-10-20,180.29,213.41,170.89,9.4
S0052,2019-10-21,161.6,190.07,152.2,9.4
S0052,2019-10-22,177.75,210.24,168.35,9.4
S0052,2019-10-23,199.3,237.15,189.9,9.4
S0052,2019-10-24,149.29,174.7,139.89,9.4
S0052,2019-10-25,173.24,204.61,163.84,9.4
S0052,2019-10-26,354.32,430.74,344.92,9.4
S0052,2019-10-27,193.15,229.47,183.75,9.4
S0052,2019-10-28,142.59,166.33,133.19,9.4
S0052,2019-10-29,88.64,98.96,79.24,9.4
S0052,2019-10-30,172.54,203.73,163.14,9.4
S0052,2019-10-31,113.94,130.55,104.54,9.4
S0055,2019-10-01,272.3,289.54,231.85,40.45
S0055,2019-10-02,271.48,288.51,231.03,40.45
S0055,2019-10-03,438.28,496.82,397.83,40.45
S0055,2019-10-04,313.84,341.41,273.39,40.45
S0055,2019-10-05,264.27,279.51,223.82,40.45
S0055,2019-10-06,281.51,301.04,241.06,40.45
S0055,2019-10-07,259.68,273.78,219.23,40.45
S0055,2019-10-08,474.04,541.48,433.59,40.45
S0055,2019-10-09,378.1,421.66,337.65,40.45
S0055,2019-10-10,237.64,246.25,197.19,40.45
S0055,2019-10-11,338.02,371.61,297.57,40.45
S0055,2019-10-12,199.48,198.6,159.03,40.45
S0055,2019-10-13,210.28,212.09,169.83,40.45
S0055,2019-10-14,353.1,390.44,312.65,40.45
S0055,2019-10-15,241.91,251.59,201.46,40.45
S0055,2019-10-16,258.84,272.73,218.39,40.45
S0055,2019-10-17,295.72,318.79,255.27,40.45
S0055,2019-10-18,302.86,327.7,262.41,40.45
S0055,2019-10-19,260.99,275.41,220.54,40.45
S0055,2019-10-20,190.53,187.42,150.08,40.45
S0055,2019-10-21,338.85,372.65,298.4,40.45
S0055,2019-10-22,292.79,315.13,252.34,40.45
S0055,2019-10-23,324.26,354.43,283.81,40.45
S0055,2019-10-24,295.81,318.9,255.36,40.45
S0055,2019-10-25,211.28,213.34,170.83,40.45
S0055,2019-10-26,207.57,208.7,167.12,40.45
S0055,2019-10-27,164.29,154.65,123.84,40.45
S0055,2019-10-28,162.08,151.89,121.63,40.45
S0055,2019-10-29,384.33,429.44,343.88,40.45
S0055,2019-10-30,237.9,246.58,197.45,40.45
S0055,2019-10-31,334.72,367.49,294.27,40.45
S0056,2019-10-01,750.56,707.62,566.63,183.93
S0056,2019-10-02,1669.06,1854.66,1485.13,183.93
S0056,2019-10-03,1073.42,1110.81,889.49,183.93
S0056,2019-10-04,2551.85,2957.11,2367.92,183.93
S0056,2019-10-05,2125.29,2424.41,1941.36,183.93
S0056,2019-10-06,1205.09,1275.24,1021.16,183.93
S0056,2019-10-07,760.58,720.13,576.65,183.93
S0056,2019-10-08,682.76,622.95,498.83,183.93
S0056,2019-10-09,690.43,632.53,506.5,183.93
S0056,2019-10-10,740.63,695.22,556.7,183.93
S0056,2019-10-11,1112.43,1159.53,928.5,183.93
S0056,2019-10-12,2046.42,2325.91,1862.49,183.93
S0056,2019-10-13,1251.82,1333.6,1067.89,183.93
S0056,2019-10-14,818.02,791.86,634.09,183.93
S0056,2019-10-15,633.44,561.36,449.51,183.93
S0056,2019-10-16,735.09,688.3,551.16,183.93
S0056,2019-10-17,811.25,783.41,627.32,183.93
S0056,2019-10-18,769.55,731.33,585.62,183.93
S0056,2019-10-19,873.91,861.66,689.98,183.93
S0056,2019-10-20,1001.38,1020.85,817.45,183.93
S0056,2019-10-21,711.56,658.91,527.63,183.93
S0056,2019-10-22,666.97,603.23,483.04,183.93
S0056,2019-10-23,540.48,445.27,356.55,183.93
S0056,2019-10-24,536.31,440.06,352.38,183.93
S0056,2019-10-25,798.24,767.16,614.31,183.93
S0056,2019-10-26,791.92,759.27,607.99,183.93
S0056,2019-10-27,1107.5,1153.37,923.57,183.93
S0056,2019-10-28,745.03,700.71,561.1,183.93
S0056,2019-10-29,626.92,553.21,442.99,183.93
S0056,2019-10-30,498.64,393.02,314.71,183.93
S0056,2019-10-31,679.21,618.52,495.28,183.93
S0058,2019-10-01,303.0,339.64,271.97,31.03
S0058,2019-10-02,216.92,232.14,185.89,31.03
S0058,2019-10-03,319.56,360.32,288.53,31.03
S0058,2019-10-04,206.49,219.12,175.46,31.03
S0058,2019-10-05,370.95,424.5,339.92,31.03
S0058,2019-10-06,254.91,279.59,223.88,31.03
S0058,2019-10-07,273.13,302.34,242.1,31.03
S0058,2019-10-08,132.38,126.57,101.35,31.03
S0058,2019-10-09,237.69,258.08,206.66,31.03
S0058,2019-10-10,293.35,327.59,262.32,31.03
S0058,2019-10-11,280.2,311.17,249.17,31.03
S0058,2019-10-12,301.49,337.76,270.46,31.03
S0058,2019-10-13,327.48,370.21,296.45,31.03
S0058,2019-10-14,213.73,228.16,182.7,31.03
S0058,2019-10-15,259.37,285.16,228.34,31.03
S0058,2019-10-16,264.56,291.64,233.53,31.03
S0058,2019-10-17,345.39,392.58,314.36,31.03
S0058,2019-10-18,301.9,338.27,270.87,31.03
S0058,2019-10-19,299.36,335.1,268.33,31.03
S0058,2019-10-20,369.33,422.48,338.3,31.03
S0058,2019-10-21,192.34,201.45,161.31,31.03
S0058,2019-10-22,244.17,266.17,213.14,31.03
S0058,2019-10-23,172.92,177.2,141.89,31.03
